Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Dělnic.str.sociální spravedl.,Blok proti islam.-Obran.domova,Občanská demokratická strana,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,REALISTÉ,STAROSTOVÉ A NEZÁVISLÍ,Česká str.sociálně demokrat.,Radostné Česko,Řád národa - Vlastenecká unie,Komunistická str.Čech a Moravy,Strana svobodných občanů,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Občanská demokratická aliance,TOP 09,Česká strana národně sociální,Referendum o Evropské unii,SPORTOVCI,Strana zelených,SPR-Republ.str.Čsl. M.Sládka,Dobrá volba 2016,"ROZUMNÍ-stop migraci,diktát.EU",Křesť.demokr.unie-Čs.str.lid.,Unie H.A.V.E.L.,Česká pirátská strana,ANO 2011
599361,Strojetice,103,77,76,0,1,"100,00",0,6,0,0,0,8,1,7,2,0,0,0,3,0,1,10,0,23,1,1,8,0,4
530689,Struhařov,670,461,459,0,5,"100,00",1,31,0,0,2,24,59,32,2,1,0,1,10,0,2,35,0,180,7,0,48,1,15
530701,Střezimíř,263,174,174,0,6,"100,00",0,18,1,0,0,5,12,17,2,0,0,0,7,0,0,12,0,76,1,0,16,0,1
530719,Studený,82,54,54,0,0,"100,00",0,1,0,0,0,3,8,8,0,1,0,0,5,0,0,7,1,18,0,0,2,0,0
532509,Šetějovice,48,38,38,0,0,"100,00",0,4,0,0,0,4,3,4,0,0,0,0,5,0,0,1,0,15,0,0,1,0,1
530751,Tehov,249,165,165,0,0,"100,00",0,26,0,0,0,21,3,13,2,0,0,0,7,0,1,15,0,56,1,0,11,0,8
530760,Teplýšovice,383,289,288,0,3,"100,00",0,17,0,0,0,25,22,41,2,0,0,1,24,0,3,17,0,96,6,1,26,0,4
530778,Tichonice,179,137,137,6,5,"100,00",0,13,0,0,0,14,16,5,0,0,1,0,2,1,0,9,0,50,0,0,10,0,5
532592,Tisem,184,128,128,0,1,"100,00",0,19,0,0,0,15,8,12,0,0,0,0,3,0,0,7,0,42,3,0,12,0,6
532541,Tomice,105,75,75,0,2,"100,00",1,12,0,0,0,4,4,2,0,0,1,0,13,0,0,8,0,26,0,0,2,0,0
530816,Trhový Štěpánov,1 029,643,634,1,6,"100,00",2,66,0,0,1,42,62,48,7,0,0,0,45,0,6,40,0,217,5,2,59,0,25
532304,Třebešice,82,68,68,0,1,"100,00",0,3,0,0,0,3,13,8,0,0,0,0,2,0,0,5,0,14,1,0,15,0,3
530841,Týnec nad Sázavou,4 550,2 943,2 922,4,36,"100,00",20,272,0,4,0,175,295,272,33,5,0,5,55,3,9,265,1,999,33,8,307,5,104
532061,Václavice,455,290,289,1,13,"100,00",2,21,0,0,0,27,30,41,1,0,0,1,10,0,4,12,0,85,0,1,32,0,5
530867,Veliš,270,189,189,2,1,"100,00",0,25,0,0,0,9,9,16,2,0,0,0,23,0,0,15,0,71,0,1,6,1,8
530883,Vlašim,9 453,5 687,5 644,12,61,"100,00",8,610,3,2,8,534,504,368,32,9,2,2,309,2,30,465,2,1 862,57,7,525,2,216
532614,Vodslivy,84,43,43,0,2,"100,00",1,8,0,0,0,3,5,1,1,0,1,0,5,0,0,0,0,10,0,0,4,0,2
530891,Vojkov,427,250,249,0,1,"100,00",0,16,2,1,1,23,21,15,1,1,0,0,14,0,3,23,1,90,2,0,27,0,7
530905,Votice,3 676,2 230,2 219,4,34,"100,00",3,187,1,1,0,196,208,182,15,4,7,0,74,1,10,167,0,779,15,4,231,2,90
530913,Vracovice,326,201,199,1,6,"100,00",0,12,0,0,0,14,14,15,3,1,0,0,22,0,0,9,3,67,0,0,22,0,10
530921,Vranov,332,244,244,0,3,"100,00",0,11,0,0,0,11,29,26,1,0,1,1,14,0,0,21,1,80,2,0,28,1,14
530948,Vrchotovy Janovice,785,492,488,1,3,"100,00",1,52,0,0,0,39,24,49,6,1,1,0,12,0,3,38,0,174,7,2,54,1,19
532266,Všechlapy,84,65,64,0,0,"100,00",0,6,0,0,0,4,17,6,0,0,0,0,1,0,0,5,0,11,0,0,7,0,7
513482,Vysoký Újezd,163,113,113,0,4,"100,00",1,4,0,0,0,11,20,1,5,0,1,0,2,0,8,12,0,30,3,0,3,0,8
571415,Xaverov,49,36,36,0,0,"100,00",0,1,0,0,0,6,3,10,0,0,0,0,4,0,0,4,0,3,0,0,5,0,0
531022,Zdislavice,462,320,318,0,7,"100,00",1,22,0,0,0,23,18,25,1,1,0,0,24,0,6,34,0,120,2,0,24,0,10
531049,Zvěstov,303,178,178,0,4,"100,00",0,15,0,0,0,16,20,21,2,0,0,0,10,0,1,6,0,65,1,0,10,0,6
